,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
155,156,AC-459,"AC-CTI-B (7.95), AC-CTI-T (7.95), AC-AIASI-B (7.95), AC-AIASI-T (7.95), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.35,9.7,9.45,8.9,9.7,7.6,7.95,7.95,AC,CTI-B,156,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
156,157,AC-98,"AC-CTI-B (7.94), AC-AIASI-B (7.94), AC-CTI-T (7.94), AC-AIASI-T (7.94), CI-ICIV-B (abs), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-T (abs), CI-ICIV-T (abs)",9.33,9.65,9.65,8.7,9.65,7.6,7.94,7.94,AC,CTI-B,157,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
157,158,AC-42,"AC-CTI-B (7.94), AC-AIASI-B (7.94), AC-CTI-T (7.94), AC-AIASI-T (7.94)",9.31,9.65,9.35,8.95,9.65,7.6,7.94,7.94,AC,CTI-B,158,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
158,159,AC-145,"AC-CTI-B (7.94), AC-AIASI-B (7.94), AC-CTI-T (7.94), AC-AIASI-T (7.94)",9.30,9.5,9.0,9.4,9.5,7.6,7.94,7.94,AC,CTI-B,159,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
159,160,AC-396,"AC-CTI-B (7.92), AC-CTI-T (7.92)",8.03,8.0,7.6,8.5,8.0,7.9,7.92,7.92,AC,CTI-B,160,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
160,161,AC-272,"AC-CTI-B (7.92), AC-AIASI-B (7.92), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.20,9.9,9.35,8.35,9.9,7.6,7.92,7.92,AC,CTI-B,161,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
161,162,AC-375,"AC-CTI-B (7.91), AC-CTI-T (7.91), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs)",7.95,8.5,9.15,6.2,8.5,7.9,7.91,7.91,AC,CTI-B,162,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
162,163,AC-190,"AC-CTI-B (7.91), AC-CTI-T (7.91), AC-AIASI-B (7.91), AC-AIASI-T (7.91), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs)",9.16,8.45,9.85,9.2,8.45,7.6,7.91,7.91,AC,CTI-B,163,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
163,164,AC-469,"AC-CTI-B (7.87), AC-AIASI-B (7.87), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-T (abs), IEEIA-IE-T (abs), IEEIA-IEN-T (abs), IEEIA-IMGM-T (abs)",7.78,7.05,7.5,8.8,7.05,7.9,7.87,7.87,AC,CTI-B,164,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
164,165,AC-259,"AC-CTI-B (7.81), AC-AIASI-B (7.81)",7.48,8.0,8.3,6.15,8.0,7.9,7.81,7.81,AC,CTI-B,165,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
